Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Sk,Rush Att,Rush Yds,Rush TD,FGM,FGA,Def TD,Opp Pass Cmp,Opp Pass Att,Opp Pass Yds,Opp Pass TD,Opp Int,Opp Sk,Opp Rush Att,Opp Rush Yds,Opp Rush TD,Opp FGM,Opp FGA,Opp Def TD
26,35,300,2,2,1,20,73,1,0,1,0,20,32,162,0,1,5,32,165,0,4,4,1
19,28,236,1,0,1,27,83,0,2,2,0,22,31,237,2,0,0,35,104,1,2,2,1
22,37,262,2,3,0,22,95,2,0,1,0,20,29,232,4,0,1,41,265,2,3,3,0
21,32,136,1,1,3,27,86,0,0,1,0,16,23,241,2,1,1,37,175,0,3,3,0
17,26,212,0,0,1,34,118,2,2,2,0,27,36,218,0,1,3,22,94,1,3,3,0
16,38,139,2,2,9,20,93,0,0,0,0,24,46,109,1,1,2,31,190,1,4,4,0
13,25,173,0,0,1,28,191,3,1,1,0,27,44,255,2,0,1,29,135,0,2,2,1
22,28,304,5,0,1,32,171,2,1,1,0,20,34,166,2,1,3,33,149,1,2,2,0
20,33,195,1,1,3,12,62,1,2,2,0,16,24,174,3,0,1,46,195,0,3,4,0
25,46,254,2,0,0,33,170,1,2,2,0,7,20,5,1,0,9,17,48,0,1,1,0
